_id,_rev,deviceType,deviceId,eventType,format,timestamp,WS_sensorData_NO2,WS_sensorData_NO,WS_sensorData_NOX,WS_sensorData_StWd,WS_sensorData_WDS,WS_sensorData_WDD,WS_sensorData_ITemp,WS_sensorData_O3,WS_sensorData_SO2,WS_sensorData_Filter,WS_sensorData_PM2_5,WS_sensorData_PM10,WS_sensorData_O_Xyle,WS_sensorData_EthylB,WS_sensorData_BENZN,WS_sensorData_TOLUEN,WS_sensorData_TEMP,WS_sensorData_TOL,WS_sensorData_FILTER25,WS_sensorData_PM_10_25,WS_sensorData_BP,WS_sensorData_PREC,WS_sensorData_SR,WS_sensorData_CO,WS_sensorData_RH,WS_sensorData_NO2_TRAFIC,WS_sensorData_NO_TRAFIC,WS_sensorData_NOX_TRAFIC,WS_sensorData_CO_TRAFIC,WSV2_sensorData_BENZN,WSV2_sensorData_TOLUEN,date,time
74cbb0f0-c740-11e7-90b6-81dfcd22b622,1-e75ddd9b244fd358b6c3ae84491db2da,WS,Old-Market,sensorData,json,2017-11-11T16:28:50.943-08:00,1.5,-0.1,1.3,17.23,2.2,14,24.9,60.2,2.8,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:50.943-08:00
74de4e91-c740-11e7-90b6-a33da586196f,1-8fbed8faa8a696a8dce25b18aac873ea,WS,Kiryat-Tivon,sensorData,json,2017-11-11T16:28:51.065-08:00,,,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:51.065-08:00
74e5c8a0-c740-11e7-ae37-617ddee8b477,1-a0f48469f6149e5536f32c509586b46d,WS,Kiryat-Ata,sensorData,json,2017-11-11T16:28:51.114-08:00,10.3,-1.4,8.1,23.46,2.4,318,23.1,78.2,0.2,52,19.3,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:51.114-08:00
74e5efb0-c740-11e7-90b6-81dfcd22b622,1-e6ddd45bfdf4e69d46a041e2caa44222,WS,Kiryat-Binyamin,sensorData,json,2017-11-11T16:28:51.115-08:00,4,0,4,23.6,2.4,316,,,,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:51.115-08:00
74ebbc12-c740-11e7-8516-a1b443649ea9,1-c4091663bd6b668a92fd0dd540194e7e,WS,Neve-Shaanan,sensorData,json,2017-11-11T16:28:51.153-08:00,2.9,0.1,3.1,,2.5,2,,,-1.2,44,,23.7,0,-0.5,-0.07,0,,,,,,,,,,,,,,,,2017-11-11,16:28:51.153-08:00
74ed69c0-c740-11e7-8ea3-bdeefb14cb95,1-18b3a39043083da598e4149ef3fd2893,WS,Daliat-el-Carmel,sensorData,json,2017-11-11T16:28:51.164-08:00,4.6,0,4.5,16.72,3,318,,,0.4,,13.5,,-0.2,0,-0.3,,26.1,0.2,,,,,,,,,,,,,,2017-11-11,16:28:51.164-08:00
74ef1770-c740-11e7-ae37-617ddee8b477,1-0898cf16f5d547f34d1867ce2679cd17,WS,Igud,sensorData,json,2017-11-11T16:28:51.175-08:00,3.1,3.4,8.5,19.26,3,298,22.1,71,-0.1,19,13.7,24.8,,,,,26.7,,44,11,1002,0,31.9,,,,,,,,,2017-11-11,16:28:51.175-08:00
74fbe8b0-c740-11e7-8516-a1b443649ea9,1-4755d6829ff799ed5edc0a7d0ce359fe,WS,Ahuza,sensorData,json,2017-11-11T16:28:51.259-08:00,16.8,2,20,,,,25.7,69.2,0,14,14,26.2,,,,,25.4,,2,12.1,1004,0,,-0.04,,,,,,,,2017-11-11,16:28:51.259-08:00
750585a0-c740-11e7-8ea3-bdeefb14cb95,1-de3b1694ccc5abdc41a5da98aa6ba944,WS,Kiryat-Motzkin,sensorData,json,2017-11-11T16:28:51.322-08:00,16,0,16,13.46,4.9,328,27,77,1.1,,,,,,,,,,,,,,,,,,,,,,,2017-11-11,16:28:51.322-08:00
75105b10-c740-11e7-922d-e592d25dbe09,1-78481ec9176e52c3e93a6617bd8a6877,WS,Shprintsak,sensorData,json,2017-11-11T16:28:51.393-08:00,8.6,0,8.6,,2.2,332,21.4,81.6,-0.2,5,10.2,11,,,,,25.3,,39,0.7,983,0,234.5,0.26,70,,,,,,,2017-11-11,16:28:51.393-08:00
